sub,sub_orig,run,cue_t,reach_t,decel_t,decel_duration,reach_duration,crit,cue,outcome,rt,init,false_start,maxvel,maxacc,maxvelt,maxacct,init_x,init_y,init_dist,quartacct_g,quartacct_i,post_error,post_false_start,wait,hold
0,301,1,5.8045767499997964,,,,,1.87,1,0,,,1,,,,,,,,,,,,2,False
0,301,1,10.3958151249999,,,,,1.87,0,0,,,1,,,,,,,,,,,1.0,1,True
0,301,1,16.106989375000012,20.316018707999774,20.716846082999837,2.487348582999857,0.4008273750000626,1.87,2,2,2.8881759579999198,0.40539244857356493,0,0.2875522369170202,0.2875522369170202,0.43338195800015455,0.4008273750000626,0.01026392961876832,-0.25000000008797657,0.7144013423545366,0.36761345800005074,0.36761345800005074,,1.0,2,True
0,301,1,27.746507457999996,31.955527041000096,32.72275641599981,1.2691410420002285,0.7672293749997152,1.87,0,2,2.0363704169999437,0.3943857270421063,0,0.05864568361828959,0.020383453752857328,0.6336914169996817,0.7672293749997152,0.0014662756598240456,-0.25000000008797657,0.7060707290296512,,0.3505409999997937,1.0,,1,True
0,301,1,39.5868882499999,42.792991750000056,43.29436683299991,1.3187812920000397,0.5013750829998571,1.87,3,1,1.8201563749998968,0.4640609212592608,0,0.06588352726619667,0.024006510325336766,0.5339097080000101,0.5013750829998571,0.019061583577712593,-0.2441348974486804,0.6895440937803727,0.5013750829998571,0.43428987499964933,1.0,,2,True
0,301,1,48.63747187499985,51.844075040999996,52.99653979100003,2.6220090839997283,1.1524647500000356,1.87,0,2,3.774473833999764,1.1435077032391803,0,0.2321978674461358,0.09146278081280364,1.2021584999997685,1.1524647500000356,0.004398826979472137,-0.2412023461290323,0.6977823926855627,1.1025399589998415,1.1025399589998415,0.0,0.0,1,True
0,301,1,60.64397125000005,62.84939933299984,63.20007466600009,1.3181967919999806,0.3506753330002539,1.87,0,1,1.6688721250002345,0.37063707448248806,0,0.06770311967468218,0.03241463274896145,0.433281375000206,0.3506753330002539,0.004398826979472137,-0.24706744876832848,0.7081625698124141,0.3334899999999834,0.3334899999999834,1.0,,2,False
0,301,1,69.54547195799978,70.74831404099996,71.16489783299994,1.9205883750000794,0.4165837919999831,1.87,0,2,2.3371721670000625,0.4065230585335371,0,0.2549738122255988,0.17211775366985743,0.44963499999994383,0.4165837919999831,0.01026392961876832,-0.24706744876832848,0.6977947171321273,0.3668370000000323,0.3668370000000323,0.0,0.0,2,False
0,301,1,77.6610207499998,80.86807474999978,81.18474049999986,1.619353874999888,0.3166657500000838,1.87,0,2,1.9360196249999717,0.3382609889889636,0,0.08063832332568215,0.034103872136761415,0.3663929580002332,0.3166657500000838,0.0014662756598240456,-0.2412023461290323,0.7019602342489212,0.3166657500000838,0.2995167910003147,1.0,,1,True
0,301,1,87.83087075000003,92.03958033299978,92.32389137499968,1.3860012910004116,0.2843110419998993,1.87,0,1,1.670312333000311,0.32276380304807617,0,0.1067546983557564,0.03815475322325289,0.4175897919999443,0.2843110419998993,0.01026392961876832,-0.24706744876832848,0.6977947171321273,0.2843110419998993,0.2843110419998993,1.0,,2,True
0,301,1,98.50250691599967,100.706857958,101.05664316599996,1.5369170419999136,0.3497852079999575,1.87,2,2,1.8867022499998711,0.3726612477307185,0,0.08604407833040989,0.05100141111971049,0.41726245800009565,0.3497852079999575,0.007331378299120228,-0.24706744876832848,0.710254303775725,0.3497852079999575,0.33386174999986906,0.0,0.0,1,False
0,301,1,107.03504158299984,108.23794566600009,108.62224420799976,1.9195493750003152,0.3842985419996694,1.87,1,2,2.3038479169999846,0.4189620135135499,0,0.08903586888459081,0.0665919116606689,0.4502101669995682,0.3842985419996694,-0.007331378299120228,-0.25879765404692084,0.7185124773937716,0.3842985419996694,0.3842985419996694,1.0,,1,False
0,301,1,115.03405295799985,116.2372264579999,116.63710504099981,1.4537197919999016,0.39987858299991785,1.87,0,1,1.8535983749998195,0.04782684493693523,0,0.17746743856640146,0.15898502819434482,0.4335181249998641,0.39987858299991785,-0.01319648093841641,-0.2441348974486804,0.6936475784195887,0.3833660420000342,0.3833660420000342,1.0,,1,False
0,301,1,122.6155628749998,124.82107391599993,125.10396929099988,1.7030501670001286,0.28289537499995276,1.87,0,2,1.9859455420000813,0.3016108093603691,0,0.11125634227674158,0.05459734134521999,0.34946008399992934,0.28289537499995276,0.0014662756598240456,-0.26173020536656894,0.7164748625797317,0.266020541999751,0.266020541999751,0.0,0.0,1,False
0,301,1,131.83435383300002,134.03880495799967,134.32236316599983,1.3696378340000592,0.28355820800015863,1.87,0,1,1.6531960420002179,0.3097653875134938,0,0.16494797589876212,0.08299588636338284,0.3333592920002957,0.28355820800015863,-0.0014662756598240456,-0.25586510272727275,0.7102361413373447,0.28355820800015863,0.266879667000012,1.0,,2,False
0,301,1,140.71796837500005,143.92459566599973,144.22460675000002,1.7700342909997744,0.300011084000289,1.87,0,2,2.0700453750000634,0.32060298087685624,0,0.20867651681782817,0.11809004620192956,0.3504652920000808,0.300011084000289,0.019061583577712593,-0.26173020536656894,0.7288982992370838,0.300011084000289,0.284089750000021,0.0,0.0,2,True
0,301,1,151.02121162499998,153.22605404099977,153.61007970799983,1.5190650829999868,0.3840256670000599,1.87,1,2,1.9030907500000467,0.402131748981958,0,0.0979866757021314,0.1006977589703391,0.41708150000022215,0.3840256670000599,0.016129032258064502,-0.2763929619648094,0.7372100978321793,0.3840256670000599,0.3840256670000599,1.0,,2,False
0,301,1,159.153801166,161.35894525000003,161.70941912499984,1.769400707999921,0.35047387499980687,1.87,0,2,2.119874582999728,0.37065351151153436,0,0.21431603842804983,0.1545298155167013,0.38422170800004096,0.35047387499980687,0.01026392961876832,-0.25000000008797657,0.6998867184912335,0.3338400829998136,0.3338400829998136,1.0,,1,False
0,301,1,167.50343395799973,169.70836191599983,170.09197295800004,1.686440957999821,0.38361104200021146,1.87,0,2,2.0700520000000324,0.394613133069015,0,0.09864483349506771,0.07304699885883517,0.4180306250000285,0.38361104200021146,0.016129032258064502,-0.2441348974486804,0.6915926621213784,0.38361104200021146,0.35088212500022564,1.0,,1,False
0,301,1,175.80315995799992,178.00857429100006,178.37484941599996,2.2376552089999677,0.3662751249999019,1.87,0,2,2.6039303339998696,0.3238076931932028,0,0.24634700991678116,0.09766432806592998,0.41705087499985893,0.3662751249999019,0.027859237536656867,-0.25293255140762466,0.6898246522449383,0.2828757089996543,0.2828757089996543,1.0,,1,False
0,301,1,184.6370002079998,187.84359545799998,188.21071137499985,2.5393667910002478,0.36711591699986457,1.87,1,2,2.9064827080001123,0.3876524597097273,0,0.0666103524289412,0.02782619182170706,0.4838408329997037,0.36711591699986457,-0.007331378299120228,-0.2763929619648094,0.7209798341248732,0.36711591699986457,0.3512028749996716,1.0,,1,True
0,301,1,196.27731349999976,198.48138387499966,198.76473933299985,1.7704182080001374,0.28335545800018735,1.87,2,2,2.0537736660003247,0.31403587368765784,0,0.08037349620055628,0.06781424362103271,0.433489708000252,0.28335545800018735,0.0014662756598240456,-0.2705278593255132,0.7207531662354927,0.28335545800018735,0.28335545800018735,1.0,,2,False
0,301,1,204.56016895799985,208.76759599999968,209.11819679099972,1.3195614589999423,0.3506007910000335,1.87,0,1,1.6701622499999758,0.2863214796205398,0,0.10761688232438066,0.03699713612782324,0.38422833300001,0.3506007910000335,0.03372434017595305,-0.23533724348973611,0.6730269168930509,0.3006693330003145,0.23376054100026522,1.0,,1,True
